Code,Mounted,Date_iso,Date_ext,Date_amp,Family,Sequence,L1,R1,L2,R2,L3,R3,L4,R4,L5,R5,L6,R6,L7,R7,L8,R8,L9,R9,L10,R10,Clade,Notes,,
GU001A,Y,45322,,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU001B,N,2024-01-31,,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU001C,N,2024-01-31,,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU001D,N,2024-01-31,,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU003A,Y,2023-11-29,45330,,Lymnaeidae,CO1,4,,10,10,10,10,10,,10,,10,,10,,9,,,,,,2,,,
GU003B,N,2023-11-29,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU004A,Y,2023-11-20,2023-11-27,45259,Lymnaeidae,CO1,7,7,7,,6,,7,6,7,7,7,6,7,7,6,7,,,,,2,"Sent off non-amplified samples, goes for all samples",,
GU004B,Y,2023-11-20,2023-11-27,2023-11-29,Lymnaeidae,CO1,8,7,9,7,9,8,9,7,9,7,8,5,10,8,8,8,,,,,2,,,
GU004C,N,2023-11-20,2023-11-27,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU004D,N,2023-11-20,2023-11-27,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU005A,Y,2023-11-29,2024-02-08,,Lymnaeidae,CO1,8,,9,,11,,10,,,9,,,,,,,,,,,2,,,
GU005B,N,2023-11-29,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU006A,Y,2023-11-20,2023-11-27,45259,Lymnaeidae,CO1,3,3,7,8,10,11,10,9,9,11,10,11,,8,11,9,,8,,,2,,,
GU006B,Y,2023-11-20,2023-11-27,2023-11-29,Lymnaeidae,CO1,4,6,9,9,10,9,10,13,10,11,10,16,11,13,10,12,12,12,12,10,2,,,
GU006C,Y,2023-11-20,2023-11-27,2023-11-29,Lymnaeidae,CO1,6,6,,8,8,10,11,11,12,10,10,9,12,,,11,,,,,1,,,
GU006D,N,2023-11-20,2023-11-27,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU006E,N,2023-11-20,2023-11-27,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU006F,N,2023-11-20,2023-11-27,2023-11-29,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
GU009A,N,2023-11-20,2023-11-27,2023-11-29,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
GU011A,N,2024-01-31,,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
GU011B,N,2024-01-31,,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
HT002A,Y,2023-10-11,45219,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002B,Y,2023-10-11,2023-02-08,,Lymnaeidae,Genome,4,4,7,8,11,,11,,11,11,11,11,,,,,,,,,,,,
HT002C,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002D,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002E,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002F,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002G,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002H,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002I,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002J,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002K,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002L,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002M,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002N,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002O,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002P,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002Q,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002R,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002S,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT002T,N,2023-02-13,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003A,N,2023-10-11,45219,,Lymnaeidae,Genome,4,5,6,8,8,9,9,10,15,15,15,16,15,14,14,,,,,,,,,
HT003B,N,2023-10-11,2023-10-23,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003C,N,2023-10-25,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003D,N,2023-10-25,45330,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,"Communication error, first sent for only CO1, reboxed for full genome ",,
HT003E,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003F,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003G,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003H,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003I,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003J,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003K,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003L,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003M,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003N,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003O,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003P,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003Q,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003R,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003S,N,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003T,Y,2023-10-25,2024-02-08,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003U,Y,2023-10-25,2024-02-08,,Lymnaeidae,Genome,4,4,6,6,6,7,8,8,13,12,12,12,12,12,,,,,,,,,,
HT003V,Y,2023-10-25,2024-02-08,,Lymnaeidae,Genome,4,4,8,,8,8,12,11,10,13,12,12,12,14,12,13,13,13,10,10,,,,
HT003W,N,2023-10-25,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003X,N,2023-10-25,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
HT003Y,N,2023-10-25,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP001A,N,2023-11-07,45238,45191,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP002A,Y,2023-12-04,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP002B,Y,2023-12-04,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP002C,N,2023-12-04,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP002D,N,2023-12-04,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP002E,N,2023-12-04,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP003A,N,2023-11-07,2023-11-08,45191,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP004A,,,2023-11-08,2023-09-22,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP008A,Y,45250,2023-11-27,2023-11-29,Planorbidae,CO1,4,4,5,,,,,,,,,,,,,,,,,,,,,
JP008B,N,2023-11-20,2023-11-27,2023-11-29,Planorbidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
