"","Species","Group","Mass","BasalFGC","ElevFGC","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","RMR","Family","Order"
"1","Acinonyx jubatus","",53500,618.5,1850.3,"EIA","9","Anesthesia","dry","adult",20.5,1.607,39,"","Felidae","Carnivora"
"2","Acomys cahirinus","",45.2,1077.33,1838.98,"EIA","4","ACTH","wet","subadult",5.9,6.143,37.5,"","Muridae","Rodentia"
"3","Ailuropoda melanoleuca","",117500,114.66,179.492,"EIA","17","artifical semen collection and artifical insemination","dry","adult",36.8,NA,NA,"","Ursidae","Carnivora"
"4","Artibeus jamaicensis","",42.2,557.46,NA,"EIA","22","none","wet","",19.2,7.787,36.4,"","Phyllostomidae","Chiroptera"
"5","Artibeus lituratus","",65,872.25,NA,"EIA","22","none","wet","",NA,8.588,37.3,"","Phyllostomidae","Chiroptera"
"6","Blastocerus dichotomus","",102500,130.333,NA,"EIA","4","N/A","dry","adult and juveniles",13.7,NA,NA,"","Cervidae","Artiodactyla"
"7","Bos taurus","",750000,96.4,NA,"EIA","1","N/A","wet","adult (pregnant and lactating)",20,0.884,38,"","Bovidae","Artiodactyla"
"8","Canis rufus","",22983.2,312.55,969.85,"EIA","9","Restraint . blood sampling . relocation . construction and saline injection","dry","adult",NA,NA,NA,"","Canidae","Carnivora"
"9","Capra hircus","",61000,124,1096,"EIA","1","ACTH","wet","adult",20.8,1.4,39.3,"","Bovidae","Artiodactyla"
"10","Capreolus capreolus","",21667,60.92,459,"EIA","1","ACTH","wet","",17.5,2.156,NA,"","Cervidae","Artiodactyla"
"11","Cavia porcellus","",728,349.23,NA,"EIA","1","N/A","dry","",12,3.333,39,"","Caviidae","Rodentia"
"12","Ceratotherium simum","",2175000,4.1,28.3,"HPLC","HPLC","restraint . relocation","dry","adult",45,NA,NA,"","Rhinocerotidae","Perissodactyla"
"13","Cerdocyon thous","",6500,84.5,1638.53,"EIA","4","ACTH","N/A","N/A",12.7,1.562,38.2,"","Canidae","Carnivora"
"14","Choeropsis liberiensis","",215000,6.3,19.2,"EIA","2","ACTH","wet","",42.3,NA,NA,"","Hippopotamidae","Artiodactyla"
"15","Crocuta crocuta","",63000,43.75,744.95,"EIA","2","ACTH","wet","adult",41.1,NA,NA,"N/A","Hyaenidae","Carnivora"
"16","Diceros bicornis","",1100000,3,30.1,"HPLC","HPLC","restraint . relocation","dry","adult",57,NA,NA,"","Rhinocerotidae","Perissodactyla"
"17","Elephas maximus","",3178000,17.1,NA,"EIA","19","","dry","adult (ranged from 9.2-57 years)",79.6,0.636,35.8,"","Elephantidae","Proboscidea"
"18","Felis catus","",3900,213.6,384.6,"EIA","9","Gonadotropin treatment and anesthesia","dry","adult",30,2.47,38.1,"","Felidae","Carnivora"
"19","Giraffa camelopardalis","",8e+05,23.725,49.3,"EIA","9","ACTH","dry","adult and juveniles",39.5,0.874,37.1,"","Giraffidae","Artiodactyla"
"20","Gorilla gorilla gorilla","",139842,20,40,"EIA","2","various","wet","",60.1,NA,NA,"N/A","Hominidae","Primates"
"21","Hylobates pileatus","",5735,33,188.5,"EIA","2","ACTH","dry","adult",38,NA,NA,"N/A","Hylobatidae","Primates"
"22","Lepus americanus","",1600,1054,11130,"EIA","1","ACTH","dry","adult",NA,4.184,39.8,"","Leporidae","Lagomorpha"
"23","Loxodonta africana","",4800000,69.7,NA,"","","","wet","",65,NA,NA,"","Elephantidae","Proboscidea"
"24","Macaca tonkeana","",11950,51.505,80.245,"EIA","13","relocation","dry","",28.4,NA,NA,"N/A","Cercopithecidae","Primates"
