"","Species","Group","Mass","BasalFGC","ElevFGC","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","RMR","Family","Order"
"1","Acinonyx jubatus","",53500,232.9,3578,"RIA",14,"anesthesia","dry","adult",20.5,1.607,39,"","Felidae","Carnivora"
"2","Aepyceros melampus","",52500,45.74,NA,"RIA",14,"none","dry","",25.6,NA,NA,"","Bovidae","Artiodactyla"
"3","Artibeus jamaicensis","",42.2,357.23,NA,"EIA",23,"none","wet","",19.2,7.787,36.4,"","Phyllostomidae","Chiroptera"
"4","Artibeus lituratus","",65,335.81,NA,"EIA",23,"none","wet","",NA,8.588,37.3,"","Phyllostomidae","Chiroptera"
"5","Canis rufus","",22983.2,215.8,684.8,"RIA",14,"Restraints . blood sampling . Relocation . Construction and saline injection","dry","adult",NA,NA,NA,"","Canidae","Carnivora"
"6","Cervus elaphus","",2e+05,26.03,NA,"RIA",14,"N/A","wet","",31.5,1.678,35.2,"","Cervidae","Artiodactyla"
"7","Choeropsis liberiensis","",215000,102.75,283.9,"EIA",3,"ACTH","wet","",42.3,NA,NA,"","Hippopotamidae","Artiodactyla"
"8","Connochaetes taurinus","",164500,24.09,NA,"RIA",14,"none","dry","",24.3,1.171,38,"","Bovidae","Artiodactyla"
"9","Ctenomys sociabilis","",400,43.71,NA,"EIA",21,"none","?","",NA,NA,NA,"","Ctenomyidae","Rodentia"
"10","Equus burchellii","",276000,14.08,NA,"RIA",14,"none","dry","",NA,NA,NA,"","Equidae","Perissodactyla"
"11","Equus caballus","",444900,24.02,33.51,"RIA",14,"relocation","dry","",57,1.4,38.3,"65000","Equidae","Perissodactyla"
"12","Equus grevyi","",384000,16.2,25.1,"RIA",14,"relocation","dry","adult",31,NA,NA,"","Equidae","Perissodactyla"
"13","Felis catus","",3900,354.7,544.5,"RIA",14,"Gonadotropin treatment and anesthesia","dry","adult",30,2.47,38.1,"","Felidae","Carnivora"
"14","Gerbillus andersoni","",26.9,797,2377,"EIA",12,"ACTH","dry","",NA,NA,NA,"","Muridae","Rodentia"
"15","Gerbillus gerbillus","",30,2182.1,10232,"EIA",10,"ACTH","dry","non-breeding adults",5.9,7.98,37.2,"","Muridae","Rodentia"
"16","Gerbillus nanus","",18.5,183,589,"EIA",12,"ACTH","dry","",4.5,4.343,38.8,"","Muridae","Rodentia"
"17","Gerbillus pyramidum","",37,1770.1,6606,"EIA",10,"ACTH","dry","non-breeding adults",8.2,4.184,36.1,"","Muridae","Rodentia"
"18","Giraffa camelopardalis","",8e+05,64.76,178.8,"EIA",10,"ACTH","dry","adult and juveniles",39.5,0.874,37.1,"","Giraffidae","Artiodactyla"
"19","Gorilla gorilla gorilla","Yes",139842,60,140,"EIA",8,"various","wet","",60.1,NA,NA,"N/A","Hominidae","Primates"
"20","Hylobates pileatus","Yes",5735,26.67,749.5,"EIA",8,"ACTH","dry","adult",38,NA,NA,"N/A","Hylobatidae","Primates"
"21","Lycaon pictus","",26500,267.75,4446,"RIA",14,"ACTH","dry","Two 2 yr-old females, one 3-yr old female, two 8 yr-old males",17,3.773,NA,"","Canidae","Carnivora"
"22","Marmota flaviventris","",3500,132,4417,"RIA",14,"ACTH","dry","adult (non-breeding)",21.2,2.008,36.5,"","Sciuridae","Rodentia"
"23","Melursus ursinus","",1e+05,64.1,666.5,"RIA",14,"Infection . male introduction . breeding","dry","adult",33.3,0.703,NA,"","Ursidae","Carnivora"
"24","Microcebus murinus","Yes",64.8,90,870,"EIA",8,"capture","wet","",18.2,NA,NA,"N/A","Cheirogaleidae","Primates"
"25","Mungos mungo","",1332,1030,2120,"EIA",10,"ACTH","dry","",17.4,NA,NA,"","Herpestidae","Carnivora"
"26","Mus musculus","",20.5,4472.05,NA,"RIA",14,"housing ","dry","9 weeks old",4,15.056,36.9,"","Muridae","Rodentia"
"27","Mustela nigripes","",1021,101.9,174.7,"RIA",14,"longitudinal analysis","dry","adult",9.4,NA,NA,"N/A","Mustelidae","Carnivora"
"28","Myrmecophaga tridactyla","",28500,30,NA,"EIA",NA,"","wet","adult",31,0.475,NA,"","Myrmecophagidae","Pilosa"
